SETTLEMENTDATE,TOTALDEMAND
1/03/2019 0:30,7465.01
1/03/2019 1:00,7262.19
1/03/2019 1:30,6982.12
1/03/2019 2:00,6776.47
1/03/2019 2:30,6659.09
1/03/2019 3:00,6588.98
1/03/2019 3:30,6555.97
1/03/2019 4:00,6606.68
1/03/2019 4:30,6848.87
1/03/2019 5:00,7123.64
1/03/2019 5:30,7582.97
1/03/2019 6:00,7968.83
1/03/2019 6:30,8321.53
1/03/2019 7:00,8530.48
1/03/2019 7:30,8657.77
1/03/2019 8:00,8607.94
1/03/2019 8:30,8637
1/03/2019 9:00,8694.04
1/03/2019 9:30,8716.16
1/03/2019 10:00,8821.15
1/03/2019 10:30,8819.82
1/03/2019 11:00,8909.41
1/03/2019 11:30,8912.2
1/03/2019 12:00,8895.23
1/03/2019 12:30,8889.18
1/03/2019 13:00,9003.6
1/03/2019 13:30,9039.15
1/03/2019 14:00,9117.24
1/03/2019 14:30,9212.47
1/03/2019 15:00,9457.75
1/03/2019 15:30,9584.09
1/03/2019 16:00,9764.2
1/03/2019 16:30,9754.65
1/03/2019 17:00,9743.72
1/03/2019 17:30,9480.3
1/03/2019 18:00,9363.82
1/03/2019 18:30,9180.07
1/03/2019 19:00,9127.43
1/03/2019 19:30,9084.57
1/03/2019 20:00,8888.42
1/03/2019 20:30,8707.97
1/03/2019 21:00,8415.29
1/03/2019 21:30,8407.01
1/03/2019 22:00,8153.12
1/03/2019 22:30,8139.21
1/03/2019 23:00,7927.37
1/03/2019 23:30,7730.45
2/03/2019 0:00,7557.26
2/03/2019 0:30,7349.63
2/03/2019 1:00,7167.9
2/03/2019 1:30,6845.25
2/03/2019 2:00,6572.2
2/03/2019 2:30,6510.66
2/03/2019 3:00,6469.09
2/03/2019 3:30,6474.87
2/03/2019 4:00,6489.65
2/03/2019 4:30,6568.63
2/03/2019 5:00,6621.49
2/03/2019 5:30,6836.82
2/03/2019 6:00,6917.35
2/03/2019 6:30,7124.49
2/03/2019 7:00,7378.05
2/03/2019 7:30,7620.98
2/03/2019 8:00,7741.77
2/03/2019 8:30,7905.75
2/03/2019 9:00,7927.18
2/03/2019 9:30,8030.86
2/03/2019 10:00,7957.48
2/03/2019 10:30,7890.85
2/03/2019 11:00,7934.06
2/03/2019 11:30,7933.46
2/03/2019 12:00,7987.51
2/03/2019 12:30,7971.47
2/03/2019 13:00,7975.73
2/03/2019 13:30,8083.13
2/03/2019 14:00,8145.85
2/03/2019 14:30,8269.58
2/03/2019 15:00,8403.92
2/03/2019 15:30,8492.8
2/03/2019 16:00,8617.42
2/03/2019 16:30,8645.71
2/03/2019 17:00,8752
2/03/2019 17:30,8738.97
2/03/2019 18:00,8728.55
2/03/2019 18:30,8553.7
2/03/2019 19:00,8573.1
2/03/2019 19:30,8568.41
2/03/2019 20:00,8414.21
2/03/2019 20:30,8239.53
2/03/2019 21:00,8145.95
2/03/2019 21:30,7955.29
2/03/2019 22:00,7876.54
2/03/2019 22:30,7811.84
2/03/2019 23:00,7618.2
2/03/2019 23:30,7367.43
3/03/2019 0:00,7243.87
3/03/2019 0:30,7052.1
3/03/2019 1:00,6878.4
3/03/2019 1:30,6637.96
3/03/2019 2:00,6468.11
3/03/2019 2:30,6374.57
3/03/2019 3:00,6303.15
3/03/2019 3:30,6285.2
3/03/2019 4:00,6269.85
3/03/2019 4:30,6363.36
3/03/2019 5:00,6381.63
3/03/2019 5:30,6515.86
3/03/2019 6:00,6582.58
3/03/2019 6:30,6730.8
3/03/2019 7:00,6898.89
3/03/2019 7:30,7046.88
3/03/2019 8:00,7237.46
3/03/2019 8:30,7335.57
3/03/2019 9:00,7455.63
3/03/2019 9:30,7446.76
3/03/2019 10:00,7493.11
3/03/2019 10:30,7515.06
3/03/2019 11:00,7572.44
3/03/2019 11:30,7711
3/03/2019 12:00,7794.65
3/03/2019 12:30,7892.83
3/03/2019 13:00,7976.78
3/03/2019 13:30,8152.75
3/03/2019 14:00,8224.62
3/03/2019 14:30,8395.44
3/03/2019 15:00,8637.56
3/03/2019 15:30,8841.28
3/03/2019 16:00,9092.63
3/03/2019 16:30,9275.21
3/03/2019 17:00,9477.11
3/03/2019 17:30,9606.91
3/03/2019 18:00,9553.36
3/03/2019 18:30,9408.16
3/03/2019 19:00,9230.61
3/03/2019 19:30,9178.79
3/03/2019 20:00,8969.51
3/03/2019 20:30,8779.33
3/03/2019 21:00,8477.14
3/03/2019 21:30,8269.63
3/03/2019 22:00,7986.08
3/03/2019 22:30,7861.01
3/03/2019 23:00,7598.32
3/03/2019 23:30,7379.63
4/03/2019 0:00,7246.92
4/03/2019 0:30,7098.27
4/03/2019 1:00,6958.91
4/03/2019 1:30,6679.91
4/03/2019 2:00,6535.51
4/03/2019 2:30,6416.16
4/03/2019 3:00,6426.14
4/03/2019 3:30,6485.9
4/03/2019 4:00,6504.59
4/03/2019 4:30,6744.82
4/03/2019 5:00,7005.82
4/03/2019 5:30,7527.96
4/03/2019 6:00,7952.87
4/03/2019 6:30,8374.56
4/03/2019 7:00,8619.82
4/03/2019 7:30,8804.8
4/03/2019 8:00,8789.83
4/03/2019 8:30,8885.35
4/03/2019 9:00,8917.76
4/03/2019 9:30,9038.34
4/03/2019 10:00,9063.56
4/03/2019 10:30,9131.38
4/03/2019 11:00,9226.07
4/03/2019 11:30,9312.4
4/03/2019 12:00,9478.68
4/03/2019 12:30,9683.45
4/03/2019 13:00,9914.31
4/03/2019 13:30,10099.78
4/03/2019 14:00,10274.68
4/03/2019 14:30,10501.92
4/03/2019 15:00,10853.93
4/03/2019 15:30,10979.65
4/03/2019 16:00,11172.95
4/03/2019 16:30,11164.61
4/03/2019 17:00,11051.79
4/03/2019 17:30,10721.09
4/03/2019 18:00,10462.2
4/03/2019 18:30,10122.18
4/03/2019 19:00,10014.96
4/03/2019 19:30,9868.35
4/03/2019 20:00,9510.4
4/03/2019 20:30,9233.97
4/03/2019 21:00,8918.18
4/03/2019 21:30,8781.29
4/03/2019 22:00,8481.63
4/03/2019 22:30,8403.15
4/03/2019 23:00,8119.34
4/03/2019 23:30,7877.14
5/03/2019 0:00,7725.62
5/03/2019 0:30,7528.89
5/03/2019 1:00,7282.4
5/03/2019 1:30,7048
5/03/2019 2:00,6866.59
5/03/2019 2:30,6731.2
5/03/2019 3:00,6648.53
5/03/2019 3:30,6691.7
5/03/2019 4:00,6767.38
5/03/2019 4:30,7012.19
5/03/2019 5:00,7214.64
5/03/2019 5:30,7764.98
5/03/2019 6:00,8171.37
5/03/2019 6:30,8562.08
5/03/2019 7:00,8792.91
5/03/2019 7:30,8891.24
5/03/2019 8:00,8917.46
5/03/2019 8:30,9015.87
5/03/2019 9:00,9044.64
5/03/2019 9:30,9029.61
5/03/2019 10:00,9037.5
5/03/2019 10:30,9049.51
5/03/2019 11:00,9105.33
5/03/2019 11:30,9191.54
5/03/2019 12:00,9365.77
5/03/2019 12:30,9579.98
5/03/2019 13:00,9788.9
5/03/2019 13:30,9951.56
5/03/2019 14:00,10220.67
5/03/2019 14:30,10437.16
5/03/2019 15:00,10768.26
5/03/2019 15:30,10930.8
5/03/2019 16:00,10813.57
5/03/2019 16:30,10673.16
5/03/2019 17:00,10755.4
5/03/2019 17:30,10721.3
5/03/2019 18:00,10589.24
5/03/2019 18:30,10365.2
5/03/2019 19:00,10235.74
5/03/2019 19:30,10038.25
5/03/2019 20:00,9814.19
5/03/2019 20:30,9391.38
5/03/2019 21:00,9065.31
5/03/2019 21:30,8894.24
5/03/2019 22:00,8518.23
5/03/2019 22:30,8379.45
5/03/2019 23:00,8065.01
5/03/2019 23:30,7856.18
6/03/2019 0:00,7755.74
6/03/2019 0:30,7482.17
6/03/2019 1:00,7253.59
6/03/2019 1:30,6895.57
6/03/2019 2:00,6688.93
6/03/2019 2:30,6539.14
6/03/2019 3:00,6493.42
6/03/2019 3:30,6536.35
6/03/2019 4:00,6565.46
6/03/2019 4:30,6832.52
6/03/2019 5:00,7116.33
6/03/2019 5:30,7618.19
6/03/2019 6:00,8017.94
6/03/2019 6:30,8424.79
6/03/2019 7:00,8624.69
6/03/2019 7:30,8780.45
6/03/2019 8:00,8877.6
6/03/2019 8:30,9046.78
6/03/2019 9:00,9176.32
6/03/2019 9:30,9308.59
6/03/2019 10:00,9496.23
6/03/2019 10:30,9556.51
6/03/2019 11:00,9586.99
6/03/2019 11:30,9626.04
6/03/2019 12:00,9867.68
6/03/2019 12:30,10026.83
6/03/2019 13:00,10311.13
6/03/2019 13:30,10176
6/03/2019 14:00,9897.31
6/03/2019 14:30,9707.63
6/03/2019 15:00,9650.9
6/03/2019 15:30,9619.65
6/03/2019 16:00,9532.8
6/03/2019 16:30,9411.69
6/03/2019 17:00,9474.99
6/03/2019 17:30,9450.61
6/03/2019 18:00,9425.91
6/03/2019 18:30,9274.01
6/03/2019 19:00,9233.23
6/03/2019 19:30,9158.87
6/03/2019 20:00,8887.7
6/03/2019 20:30,8647.86
6/03/2019 21:00,8348.22
6/03/2019 21:30,8180.88
6/03/2019 22:00,7929.82
6/03/2019 22:30,7795.07
6/03/2019 23:00,7651.63
6/03/2019 23:30,7484.66
7/03/2019 0:00,7328.82
7/03/2019 0:30,7142.57
7/03/2019 1:00,6939.89
7/03/2019 1:30,6647.23
7/03/2019 2:00,6454.78
7/03/2019 2:30,6311.07
7/03/2019 3:00,6285.07
7/03/2019 3:30,6291.1
7/03/2019 4:00,6359.98
7/03/2019 4:30,6566.22
7/03/2019 5:00,6810.7
7/03/2019 5:30,7310.49
7/03/2019 6:00,7739.45
7/03/2019 6:30,8074.78
7/03/2019 7:00,8284.82
7/03/2019 7:30,8307.51
7/03/2019 8:00,8197.67
7/03/2019 8:30,8175.95
7/03/2019 9:00,8105.52
7/03/2019 9:30,8045.22
7/03/2019 10:00,8079.91
7/03/2019 10:30,8041.45
7/03/2019 11:00,8059.55
7/03/2019 11:30,7983.43
7/03/2019 12:00,7918.8
7/03/2019 12:30,7900.49
7/03/2019 13:00,7921.22
7/03/2019 13:30,7948.73
7/03/2019 14:00,7952.26
7/03/2019 14:30,8016.32
7/03/2019 15:00,8118.11
7/03/2019 15:30,8204.51
7/03/2019 16:00,8311.5
7/03/2019 16:30,8376.25
7/03/2019 17:00,8499.21
7/03/2019 17:30,8466.41
7/03/2019 18:00,8477.6
7/03/2019 18:30,8439.66
7/03/2019 19:00,8450.82
7/03/2019 19:30,8335.38
7/03/2019 20:00,8221.04
7/03/2019 20:30,8009.78
7/03/2019 21:00,7735.83
7/03/2019 21:30,7677.57
7/03/2019 22:00,7588.84
7/03/2019 22:30,7575.27
7/03/2019 23:00,7491.31
7/03/2019 23:30,7397.92
8/03/2019 0:00,7236.11
8/03/2019 0:30,7091.05
8/03/2019 1:00,6935.61
8/03/2019 1:30,6702.56
8/03/2019 2:00,6443.88
8/03/2019 2:30,6360.24
8/03/2019 3:00,6340.81
8/03/2019 3:30,6395.12
8/03/2019 4:00,6471.58
8/03/2019 4:30,6667.12
8/03/2019 5:00,6917.66
8/03/2019 5:30,7346.7
8/03/2019 6:00,7881.08
8/03/2019 6:30,8179.91
8/03/2019 7:00,8340.76
8/03/2019 7:30,8373.48
8/03/2019 8:00,8438.57
8/03/2019 8:30,8388.28
8/03/2019 9:00,8403.07
8/03/2019 9:30,8407.16
8/03/2019 10:00,8280.38
8/03/2019 10:30,8291.51
8/03/2019 11:00,8304.22
8/03/2019 11:30,8302.2
8/03/2019 12:00,8277.98
8/03/2019 12:30,8383.11
8/03/2019 13:00,8480.76
8/03/2019 13:30,8591.58
8/03/2019 14:00,8818.25
8/03/2019 14:30,9010.07
8/03/2019 15:00,9259.4
8/03/2019 15:30,9496.32
8/03/2019 16:00,9669.81
8/03/2019 16:30,9785.66
8/03/2019 17:00,9740.99
8/03/2019 17:30,9541.25
8/03/2019 18:00,9432.76
8/03/2019 18:30,9289.57
8/03/2019 19:00,9334.1
8/03/2019 19:30,9254.12
8/03/2019 20:00,9104.43
8/03/2019 20:30,8871.01
8/03/2019 21:00,8657.65
8/03/2019 21:30,8571.51
8/03/2019 22:00,8334.32
8/03/2019 22:30,8266.59
8/03/2019 23:00,8021.16
8/03/2019 23:30,7841.38
9/03/2019 0:00,7627.86
9/03/2019 0:30,7397.53
9/03/2019 1:00,7216.42
9/03/2019 1:30,6910.25
9/03/2019 2:00,6630.63
9/03/2019 2:30,6484.39
9/03/2019 3:00,6447.07
9/03/2019 3:30,6390.88
9/03/2019 4:00,6376.12
9/03/2019 4:30,6470.82
9/03/2019 5:00,6549.35
9/03/2019 5:30,6796.36
9/03/2019 6:00,6933.74
9/03/2019 6:30,7172.53
9/03/2019 7:00,7376.19
9/03/2019 7:30,7665.58
9/03/2019 8:00,7854.88
9/03/2019 8:30,8003.54
9/03/2019 9:00,7973.66
9/03/2019 9:30,8002.09
9/03/2019 10:00,7921.44
9/03/2019 10:30,7881.95
9/03/2019 11:00,7792.87
9/03/2019 11:30,7777.91
9/03/2019 12:00,7751.47
9/03/2019 12:30,7819.04
9/03/2019 13:00,7874.16
9/03/2019 13:30,7835.65
9/03/2019 14:00,7892.27
9/03/2019 14:30,7882.02
9/03/2019 15:00,7903.5
9/03/2019 15:30,7918.88
9/03/2019 16:00,7921.87
9/03/2019 16:30,7984.66
9/03/2019 17:00,8133.35
9/03/2019 17:30,8233.03
9/03/2019 18:00,8262.33
9/03/2019 18:30,8208.9
9/03/2019 19:00,8248.31
9/03/2019 19:30,8184.56
9/03/2019 20:00,8100.89
9/03/2019 20:30,7948.21
9/03/2019 21:00,7782.37
9/03/2019 21:30,7679.63
9/03/2019 22:00,7587.77
9/03/2019 22:30,7528.23
9/03/2019 23:00,7357.44
9/03/2019 23:30,7183.17
10/03/2019 0:00,7046.05
10/03/2019 0:30,6851.34
10/03/2019 1:00,6709.53
10/03/2019 1:30,6436.52
10/03/2019 2:00,6279.16
10/03/2019 2:30,6197.43
10/03/2019 3:00,6121.39
10/03/2019 3:30,6119.34
10/03/2019 4:00,6098.79
10/03/2019 4:30,6174.59
10/03/2019 5:00,6196.74
10/03/2019 5:30,6311.14
10/03/2019 6:00,6406.27
10/03/2019 6:30,6597.38
10/03/2019 7:00,6806.27
10/03/2019 7:30,7010.35
10/03/2019 8:00,7183.12
10/03/2019 8:30,7282.51
10/03/2019 9:00,7311.78
10/03/2019 9:30,7317.42
10/03/2019 10:00,7297.38
10/03/2019 10:30,7298.05
10/03/2019 11:00,7299.35
10/03/2019 11:30,7313.48
10/03/2019 12:00,7384.12
10/03/2019 12:30,7507.06
10/03/2019 13:00,7694.95
10/03/2019 13:30,7945.31
10/03/2019 14:00,8248.53
10/03/2019 14:30,8503.1
10/03/2019 15:00,8814.32
10/03/2019 15:30,9120.8
